date,SP500_adjusted,Russell2000_adjusted,lag_SP500,lead_SP500,diff_SP500,lag_Russell,lead_Russell,diff_Russell,positive_score,negative_score,score
2007-08-07,1476.7099609375,774.130004882812,1505.7099609375,1453.64001464844,-3.4581657583403174,839.039978027344,788.780029296875,-5.990173298849775,1,4,-0.6
2007-08-10,1453.64001464844,788.780029296875,1476.7099609375,1445.93994140625,-2.0836874095245776,774.130004882812,786.030029296875,1.5372126566602184,0,0,NA
2007-08-17,1445.93994140625,786.030029296875,1453.64001464844,1519.78002929688,4.5499583103066845,788.780029296875,806.630004882812,2.2629852332656877,0,3,-1
2007-09-18,1519.78002929688,806.630004882812,1445.93994140625,1549.38000488281,7.153828489996568,786.030029296875,828.02001953125,5.342033849767314,2,5,-0.42857142857142855
2007-10-31,1549.38000488281,828.02001953125,1519.78002929688,1477.65002441406,-2.7721120208633927,806.630004882812,766.27001953125,-5.003531372159356,2,6,-0.5
2007-12-11,1477.65002441406,766.27001953125,1549.38000488281,1310.5,-15.417780281789431,828.02001953125,671.570007324219,-18.89447217660255,2,4,-0.3333333333333333
2008-01-22,1310.5,671.570007324219,1477.65002441406,1355.81005859375,-8.245522539657104,766.27001953125,695.489990234375,-9.236956620092384,0,4,-1
2008-01-30,1355.81005859375,695.489990234375,1310.5,1320.65002441406,0.7745154074063333,671.570007324219,673.809997558594,0.3335453057678889,0,2,-1
2008-03-11,1320.65002441406,673.809997558594,1355.81005859375,1330.73999023438,-1.8490841103047093,695.489990234375,681.929992675781,-1.9497042012099064,1,0,1
2008-03-18,1330.73999023438,681.929992675781,1320.65002441406,1385.58996582031,4.917271056354408,673.809997558594,716.179992675781,6.288122062703973,0,6,-1
2008-04-30,1385.58996582031,716.179992675781,1330.73999023438,1321.96997070312,-0.6590332894193224,681.929992675781,716.299987792969,5.0401060939299285,1,5,-0.6666666666666666
2008-06-25,1321.96997070312,716.299987792969,1385.58996582031,1284.88000488281,-7.268381225457038,716.179992675781,721.039978027344,0.6785983134498283,1,4,-0.6
2008-08-05,1284.88000488281,721.039978027344,1321.96997070312,1213.59997558594,-8.197613979048324,716.299987792969,710.650024414062,-0.78877055356588,1,4,-0.6
2008-09-16,1213.59997558594,710.650024414062,1284.88000488281,984.940002441406,-23.343814309629686,721.039978027344,546.570007324219,-24.196989906225223,1,6,-0.7142857142857143
2008-10-08,984.940002441406,546.570007324219,1213.59997558594,930.090026855469,-23.3610707344971,710.650024414062,490.880004882812,-30.925211001357894,2,12,-0.7142857142857143
2008-10-29,930.090026855469,490.880004882812,984.940002441406,913.179992675781,-7.285723961637348,546.570007324219,482.850006103516,-11.658159131828285,2,7,-0.5555555555555556
2008-12-16,913.179992675781,482.850006103516,930.090026855469,874.090026855469,-6.020922532556313,490.880004882812,473.019989013672,-3.638366951492296,2,8,-0.6
2009-01-28,874.090026855469,473.019989013672,913.179992675781,794.349975585938,-13.012770542820352,482.850006103516,417.630004882812,-13.507300485923949,8,6,0.14285714285714285
2009-03-18,794.349975585938,417.630004882812,874.090026855469,873.640014648438,-0.05148350778579839,473.019989013672,491.470001220703,3.900471996014898,6,8,-0.14285714285714285
2009-04-29,873.640014648438,491.470001220703,794.349975585938,900.940002441406,13.418522078614512,417.630004882812,494.950012207031,18.513997179372975,8,9,-0.058823529411764705
2009-06-24,900.940002441406,494.950012207031,873.640014648438,1005.80999755859,15.128654902939473,491.470001220703,572.169982910156,16.420123606529813,8,5,0.23076923076923078
2009-08-12,1005.80999755859,572.169982910156,900.940002441406,1060.86999511719,17.751458725597573,494.950012207031,613.369995117188,23.925645012535814,9,5,0.2857142857142857
2009-09-23,1060.86999511719,613.369995117188,1005.80999755859,1046.5,4.045495922706788,572.169982910156,563.119995117188,-1.5816956609534558,11,8,0.15789473684210525
2009-11-04,1046.5,563.119995117188,1060.86999511719,1109.18005371094,4.553815153233114,613.369995117188,611.210021972656,-0.35214848488297124,10,6,0.25
2009-12-16,1109.18005371094,611.210021972656,1046.5,1097.5,4.873387482083134,563.119995117188,618.380004882812,9.813185510154762,13,7,0.3
2010-01-27,1097.5,618.380004882812,1109.18005371094,1159.4599609375,4.533069906760448,611.210021972656,679.580017089844,11.1860068813215,9,4,0.38461538461538464
2010-03-16,1159.4599609375,679.580017089844,1097.5,1191.35998535156,8.552162674401822,618.380004882812,722.390014648438,16.81975628971649,9,5,0.2857142857142857
2010-04-28,1191.35998535156,722.390014648438,1159.4599609375,1092.0400390625,-5.814769301777919,679.580017089844,644.25,-5.198801642393374,8,5,0.23076923076923078
2010-06-23,1092.0400390625,644.25,1191.35998535156,1121.06005859375,-5.900813156576272,722.390014648438,646.359985351562,-10.52478962266347,6,5,0.09090909090909091
2010-08-10,1121.06005859375,646.359985351562,1092.0400390625,1139.78002929688,4.371633688025218,644.25,664.659973144531,3.1680206665938724,6,5,0.09090909090909091
2010-09-21,1139.78002929688,664.659973144531,1121.06005859375,1197.9599609375,6.859570257120097,646.359985351562,715.140014648438,10.64113355647561,7,7,0
2010-11-03,1197.9599609375,715.140014648438,1139.78002929688,1241.58996582031,8.932419757015362,664.659973144531,771.659973144531,16.098457004079698,9,11,-0.1
2010-12-14,1241.58996582031,771.659973144531,1197.9599609375,1296.63000488281,8.23650599040829,715.140014648438,793.719970703125,10.988051912228245,10,13,-0.13043478260869565
2011-01-26,1296.63000488281,793.719970703125,1241.58996582031,1281.86999511719,3.244229609270985,771.659973144531,791.330017089844,2.5490558834038133,10,9,0.05263157894736842
2011-03-15,1281.86999511719,791.330017089844,1296.63000488281,1355.66003417969,4.552573137640384,793.719970703125,858.309997558594,8.13763408249023,9,4,0.38461538461538464
2011-04-27,1355.66003417969,858.309997558594,1281.86999511719,1287.14001464844,0.41111965732283245,791.330017089844,799.869995117188,1.0791929843316417,9,4,0.38461538461538464
2011-06-22,1287.14001464844,799.869995117188,1355.66003417969,1172.53002929688,-13.508549360874387,858.309997558594,696.159973144531,-18.89177859692745,5,11,-0.375
2011-08-09,1172.53002929688,696.159973144531,1287.14001464844,1166.76000976562,-9.352518258528363,799.869995117188,664.580017089844,-16.913995880983485,6,13,-0.3684210526315789
2011-09-21,1166.76000976562,664.580017089844,1172.53002929688,1237.90002441406,5.575123321692648,696.159973144531,733.260009765625,5.329240124725121,7,11,-0.2222222222222222
2011-11-02,1237.90002441406,733.260009765625,1166.76000976562,1225.72998046875,5.054164541941745,664.580017089844,718.059997558594,8.04718455167154,7,8,-0.06666666666666667
